id	name	node_type
629219	SULT2A6	Gene
6304	SATB1	Gene
6309	SC5D	Gene
6323	SCN1A	Gene
6348	CCL3	Gene
6351	CCL4	Gene
6352	CCL5	Gene
6364	CCL20	Gene
6374	CXCL5	Gene
6387	CXCL12	Gene
63905	MANBAL	Gene
6400	SEL1L	Gene
64121	RRAGC	Gene
641371	ACOT1	Gene
6418	SET	Gene
6427	SRSF2	Gene
64284	RAB17	Gene
6430	SRSF5	Gene
64375	IKZF4	Gene
64393	ZMAT3	Gene
64419	MTMR14	Gene
6464	SHC1	Gene
64641	EBF2	Gene
64781	CERK	Gene
6482	ST3GAL1	Gene
64848	YTHDC2	Gene
64866	CDCP1	Gene
6494	SIPA1	Gene
6499	SKIC2	Gene
652995	UCA1	Gene
6533	SLC6A6	Gene
6590	SLPI	Gene
6591	SNAI2	Gene
664617	MIR542	Gene
6648	SOD2	Gene
6651	SON	Gene
6653	SORL1	Gene
6667	SP1	Gene
6670	SP3	Gene
6675	UAP1	Gene
6676	SPAG4	Gene
6678	SPARC	Gene
6711	SPTBN1	Gene
6712	SPTBN2	Gene
6713	SQLE	Gene
6729	SRP54	Gene
675	BRCA2	Gene
6752	SSTR2	Gene
67552	MACROH2A3	Gene
6772	STAT1	Gene
6775	STAT4	Gene
6788	STK3	Gene
6809	STX3	Gene
682	BSG	Gene
6836	SURF4	Gene
6847	SYCP1	Gene
6877	TAF5	Gene
6915	TBXA2R	Gene
6916	TBXAS1	Gene
694	BTG1	Gene
6955	TRA	Gene
7015	TERT	Gene
7016	TESK1	Gene
7035	TFPI	Gene
7049	TGFBR3	Gene
7050	TGIF1	Gene
7069	THRSP	Gene
7076	TIMP1	Gene
7086	TKT	Gene
7096	TLR1	Gene
7097	TLR2	Gene
7098	TLR3	Gene
7100	TLR5	Gene
7107	GPR137B	Gene
7128	TNFAIP3	Gene
7130	TNFAIP6	Gene
715	C1R	Gene
7153	TOP2A	Gene
7157	TP53	Gene
716	C1S	Gene
7165	TPD52L2	Gene
717	C2	Gene
71773	UGT2B1	Gene
7186	TRAF2	Gene
7187	TRAF3	Gene
72054	CYP4F18	Gene
7222	TRPC3	Gene
723790	H2AC19	Gene
723839	MIR323	Gene
723876	MIR486	Gene
723887	MIR463	Gene
723904	MIR219A-2	Gene
723910	MIR351	Gene
7249	TSC2	Gene
727	C5	Gene
7350	UCP1	Gene
7351	UCP2	Gene
7421	VDR	Gene
7450	VWF	Gene
7465	WEE1	Gene
7471	WNT1	Gene
7494	XBP1	Gene
7507	XPA	Gene
7508	XPC	Gene
